strategy,ticker,trades,basic_wr,basic_avg,basic_total,best_wr,best_avg,best_total,realistic_wr,realistic_avg,realistic_total
Open (9:30-9:45) → 10:30-11:00,NVVE,60,36.666666666666664,-1.0059191572579287,-60.355149435475724,81.66666666666667,6.442341139355779,386.54046836134677,43.333333333333336,-0.4251170766882307,-25.50702460129384
Open (9:30-9:45) → 10:30-11:00,BE,60,45.0,-0.19236197703255745,-11.541718621953446,76.66666666666667,3.8085815991199374,228.51489594719624,46.666666666666664,-0.19010392453911257,-11.406235472346754
Open (9:30-9:45) → 10:30-11:00,APLD,60,53.333333333333336,0.4384813680513607,26.30888208308164,85.0,4.127260822224288,247.63564933345728,50.0,0.2603526971155248,15.621161826931488
Open (9:30-9:45) → 10:30-11:00,UUUU,60,51.66666666666667,0.07786196727562333,4.6717180365374,90.0,3.9388073065049616,236.3284383902977,45.0,-0.01445415922729859,-0.8672495536379154
Open (9:30-9:45) → 10:30-11:00,ASTS,60,53.333333333333336,0.2992997394850752,17.957984369104512,85.0,3.650003488842822,219.00020933056933,50.0,0.28142554541940884,16.88553272516453
Open (9:30-9:45) → 10:30-11:00,ARQQ,60,45.0,-0.35912563781415596,-21.547538268849358,91.66666666666666,3.7562975147482183,225.3778508848931,53.333333333333336,-0.12928033997667987,-7.756820398600793
Open (9:30-9:45) → 10:30-11:00,IONQ,60,45.0,-0.6398568145978744,-38.391408875872465,78.33333333333333,2.4515964571200626,147.09578742720376,41.66666666666667,-0.46230017800339446,-27.73801068020367
Open (9:30-9:45) → 10:30-11:00,RGTI,60,50.0,-0.16187816962341656,-9.712690177404994,86.66666666666667,3.021897568667937,181.3138541200762,46.666666666666664,-0.17354183264448678,-10.412509958669206
Open (9:30-9:45) → 10:30-11:00,TQQQ,60,51.66666666666667,-0.00401803220710264,-0.24108193242615839,83.33333333333334,1.3091697951609886,78.55018770965931,53.333333333333336,-0.0017836209935335689,-0.10701725961201414
Open (9:30-9:45) → 10:30-11:00,SOXL,60,51.66666666666667,0.272318381409445,16.3391028845667,85.0,2.6530550785840847,159.1833047150451,51.66666666666667,-0.12431890946670912,-7.459134568002547
VWAP Reset (10:00-10:30) → EOD (3:30-4:00),NVVE,58,41.37931034482759,-0.6955478644216081,-40.34177613645327,70.6896551724138,4.978529341543697,288.7547018095344,46.55172413793103,-0.11934755000289357,-6.922157900167827
VWAP Reset (10:00-10:30) → EOD (3:30-4:00),BE,58,48.275862068965516,-0.07727276133849043,-4.481820157632445,79.3103448275862,3.079621874341409,178.61806871180173,56.896551724137936,0.1299016319949802,7.534294655708852
VWAP Reset (10:00-10:30) → EOD (3:30-4:00),APLD,58,43.103448275862064,-0.6991844862222218,-40.552700200888864,65.51724137931035,2.1612810053560603,125.35429831065149,39.6551724137931,-0.5409381879723925,-31.374414902398765
VWAP Reset (10:00-10:30) → EOD (3:30-4:00),UUUU,58,41.37931034482759,-0.3089822969198556,-17.920973221351627,72.41379310344827,2.418038009322727,140.24620454071817,50.0,-0.03966323277323531,-2.300467500847648
VWAP Reset (10:00-10:30) → EOD (3:30-4:00),ASTS,58,41.37931034482759,-0.059683428050907775,-3.461638826952651,67.24137931034483,2.5648019268101674,148.7585117549897,48.275862068965516,-0.023108628853204184,-1.3403004734858426
VWAP Reset (10:00-10:30) → EOD (3:30-4:00),ARQQ,58,44.827586206896555,-0.524633138366138,-30.428722025236006,68.96551724137932,2.125271850993958,123.26576735764957,43.103448275862064,-0.5685343410645677,-32.974991781744926
VWAP Reset (10:00-10:30) → EOD (3:30-4:00),IONQ,58,43.103448275862064,-0.8320939589775449,-48.261449620697604,60.3448275862069,1.5759904364080268,91.40744531166555,46.55172413793103,-0.567376814248975,-32.90785522644055
VWAP Reset (10:00-10:30) → EOD (3:30-4:00),RGTI,58,36.206896551724135,-0.7713143512370357,-44.73623237174807,65.51724137931035,2.22823306932557,129.23751802088307,43.103448275862064,-0.48885320165092017,-28.35348569575337
VWAP Reset (10:00-10:30) → EOD (3:30-4:00),TQQQ,58,58.620689655172406,-0.20493517901647226,-11.88624038295539,74.13793103448276,1.001252196938708,58.072627422445066,56.896551724137936,-0.17575627266000787,-10.193863814280457
VWAP Reset (10:00-10:30) → EOD (3:30-4:00),SOXL,58,53.44827586206896,-0.49860431750486595,-28.919050415282225,82.75862068965517,1.934414779722854,112.19605722392552,53.44827586206896,-0.2806868507545565,-16.279837343764278
